n,In
10000,16.7863
15000,17.6398
20000,18.2005
25000,18.6479
30000,19.0093
35000,19.3188
40000,19.5878
45000,19.8274
50000,20.038
55000,20.229
60000,20.408
65000,20.5635
70000,20.71
75000,20.8537
80000,20.9859
85000,21.1042
90000,21.2209
95000,21.332
100000,21.4311
105000,21.5261
110000,21.6205
115000,21.7053
120000,21.7888
125000,21.8679
130000,21.9447
135000,22.0192
140000,22.0898
145000,22.1623
150000,22.2335
155000,22.2958
160000,22.3598
165000,22.4204
170000,22.4753
175000,22.5338
180000,22.5914
185000,22.6458
190000,22.6983
195000,22.7534
200000,22.8076
