n,In
10000,16.4284
15000,17.2704
20000,17.8781
25000,18.3236
30000,18.6848
35000,18.9751
40000,19.2518
45000,19.4808
50000,19.6864
55000,19.8752
60000,20.0449
65000,20.2106
70000,20.359
75000,20.494
80000,20.624
85000,20.7412
90000,20.8603
95000,20.9688
100000,21.0706
105000,21.1678
110000,21.2607
115000,21.3518
120000,21.4412
125000,21.5233
130000,21.6052
135000,21.6782
140000,21.7502
145000,21.822
150000,21.8881
155000,21.9523
160000,22.0148
165000,22.0757
170000,22.1311
175000,22.1908
180000,22.246
185000,22.2977
190000,22.3525
195000,22.4024
200000,22.4518
