n,In
10000,17.9364
15000,18.7507
20000,19.3117
25000,19.7643
30000,20.1373
35000,20.45
40000,20.7143
45000,20.9398
50000,21.1406
55000,21.33
60000,21.4954
65000,21.6584
70000,21.8033
75000,21.9448
80000,22.0758
85000,22.1956
90000,22.3046
95000,22.41
100000,22.5139
105000,22.61
110000,22.7047
115000,22.7925
120000,22.8789
125000,22.9628
130000,23.0436
135000,23.115
140000,23.1844
145000,23.2511
150000,23.3183
155000,23.3843
160000,23.4448
165000,23.5039
170000,23.5654
175000,23.6226
180000,23.6825
185000,23.734
190000,23.7889
195000,23.8398
200000,23.8852
