n,In
10000,17.5173
15000,18.3355
20000,18.9117
25000,19.3535
30000,19.7186
35000,20.0397
40000,20.2827
45000,20.515
50000,20.731
55000,20.9142
60000,21.0937
65000,21.2586
70000,21.4024
75000,21.5308
80000,21.6582
85000,21.7744
90000,21.8836
95000,21.9951
100000,22.096
105000,22.1898
110000,22.2826
115000,22.3725
120000,22.4573
125000,22.5403
130000,22.6165
135000,22.6885
140000,22.762
145000,22.8298
150000,22.8948
155000,22.9625
160000,23.0257
165000,23.0876
170000,23.1471
175000,23.2038
180000,23.259
185000,23.3165
190000,23.3706
195000,23.4245
200000,23.4776
