n,In
10000,17.5623
15000,18.3691
20000,18.9538
25000,19.3834
30000,19.7512
35000,20.0797
40000,20.3531
45000,20.5909
50000,20.798
55000,20.9814
60000,21.1548
65000,21.319
70000,21.465
75000,21.5969
80000,21.7284
85000,21.8517
90000,21.9651
95000,22.0689
100000,22.1696
105000,22.262
110000,22.357
115000,22.4421
120000,22.5254
125000,22.6021
130000,22.6757
135000,22.7522
140000,22.8261
145000,22.899
150000,22.9665
155000,23.031
160000,23.0962
165000,23.1565
170000,23.2171
175000,23.2745
180000,23.3312
185000,23.3861
190000,23.4392
195000,23.4913
200000,23.5436
