n,In
10000,17.8092
15000,18.6039
20000,19.1654
25000,19.5922
30000,19.952
35000,20.2917
40000,20.5574
45000,20.7904
50000,20.9836
55000,21.1744
60000,21.3422
65000,21.5133
70000,21.6671
75000,21.8026
80000,21.9373
85000,22.0572
90000,22.164
95000,22.2691
100000,22.3679
105000,22.4658
110000,22.5595
115000,22.6474
120000,22.7355
125000,22.8122
130000,22.8886
135000,22.9617
140000,23.0359
145000,23.1069
150000,23.1778
155000,23.2438
160000,23.3078
165000,23.3664
170000,23.4255
175000,23.4846
180000,23.541
185000,23.5936
190000,23.645
195000,23.6965
200000,23.7457
