n,In
10000,18.7518
15000,19.5692
20000,20.1602
25000,20.619
30000,20.9735
35000,21.2886
40000,21.5548
45000,21.7868
50000,21.9981
55000,22.1842
60000,22.3479
65000,22.5051
70000,22.6501
75000,22.7945
80000,22.9333
85000,23.0541
90000,23.1708
95000,23.2804
100000,23.3726
105000,23.4704
110000,23.5663
115000,23.6515
120000,23.7389
125000,23.822
130000,23.9009
135000,23.9797
140000,24.0536
145000,24.126
150000,24.1933
155000,24.2608
160000,24.3212
165000,24.3823
170000,24.4396
175000,24.4976
180000,24.5558
185000,24.6111
190000,24.6635
195000,24.7153
200000,24.7659
