n,In
10000,16.8271
15000,17.6294
20000,18.2092
25000,18.6439
30000,19.0019
35000,19.3124
40000,19.5927
45000,19.8313
50000,20.0431
55000,20.2318
60000,20.3995
65000,20.5652
70000,20.7091
75000,20.8487
80000,20.9787
85000,21.1052
90000,21.2142
95000,21.3241
100000,21.427
105000,21.5215
110000,21.612
115000,21.6932
120000,21.7782
125000,21.8613
130000,21.938
135000,22.0079
140000,22.0735
145000,22.1441
150000,22.2111
155000,22.2774
160000,22.3402
165000,22.3995
170000,22.4587
175000,22.5145
180000,22.5695
185000,22.6254
190000,22.6765
195000,22.731
200000,22.7824
