n,In
10000,17.6182
15000,18.4469
20000,19.0221
25000,19.4514
30000,19.8097
35000,20.1199
40000,20.3699
45000,20.622
50000,20.8288
55000,21.0045
60000,21.1787
65000,21.3438
70000,21.4921
75000,21.6295
80000,21.7561
85000,21.8819
90000,21.9933
95000,22.1052
100000,22.2093
105000,22.3055
110000,22.4061
115000,22.4918
120000,22.5763
125000,22.6564
130000,22.7317
135000,22.8067
140000,22.8786
145000,22.9473
150000,23.0114
155000,23.0777
160000,23.1383
165000,23.1985
170000,23.2591
175000,23.3178
180000,23.3739
185000,23.4281
190000,23.4812
195000,23.5315
200000,23.5819
