n,In
10000,18.632
15000,19.4326
20000,19.9911
25000,20.4111
30000,20.7724
35000,21.0836
40000,21.3337
45000,21.5666
50000,21.7789
55000,21.9754
60000,22.1551
65000,22.3176
70000,22.464
75000,22.6033
80000,22.7334
85000,22.8595
90000,22.973
95000,23.0816
100000,23.1863
105000,23.285
110000,23.3835
115000,23.4763
120000,23.5654
125000,23.6496
130000,23.7264
135000,23.8013
140000,23.8664
145000,23.9401
150000,24.0067
155000,24.0721
160000,24.1387
165000,24.2008
170000,24.2594
175000,24.3158
180000,24.3725
185000,24.428
190000,24.4834
195000,24.5382
200000,24.5848
